work_key	title	author_keys	subject_keys_str	first_publish_year	canonical	author_name	scope_flag	goodreads_resolution_status	goodreads_candidate_count	goodreads_strongest_title_evidence	selected_goodreads_work_id	selected_title_match_type	selected_author_match_quality	selected_goodreads_author	selected_gr_original_title	selected_gr_original_publication_year	review_needed	ol_title	ol_author_name	ol_first_publish_year	goodreads_work_id	title_match_type	gr_original_title	gr_original_publication_year	matched_book_titles	goodreads_contributors	source_batch	ol_year_num	gr_year_num	signed_year_diff	temporal_triage
/works/OL12141196W	Swamp water	/authors/OL5268296A	fiction_general	1941	0	Vereen Bell	in_scope	NO_AUTHOR_SUPPORT	1	BOOK_FULL							1	Swamp water	Vereen Bell	1941	26173816	BOOK_FULL		2013	"[""Swamp Water""]"	Michael Martchenko [Illustrator] | Robert Munsch [<EMPTY>]	old_1122	1941	2013.0	72.0	TEMPORAL_CONFLICT_GR_MUCH_NEWER
/works/OL12313613W	On wings of destiny	/authors/OL5395405A	fiction	1940	0	Victoria Lopez de Araneta	in_scope	NO_AUTHOR_SUPPORT	1	WORK_FULL							1	On wings of destiny	Victoria Lopez de Araneta	1940	1092580	WORK_FULL	On Wings of Destiny	1992	"[""On Wings of Destiny""]"	Ching Yun Bezine [<EMPTY>]	old_1122	1940	1992.0	52.0	TEMPORAL_CONFLICT_GR_MUCH_NEWER
/works/OL1531468W	Eagle-feather	/authors/OL162491A	fiction	1933	0	Catherine I. Dodd	in_scope	NO_AUTHOR_SUPPORT	1	WORK_FULL							1	Eagle-feather	Catherine I. Dodd	1933	1447494	WORK_FULL	Eagle Feather	1953	"[""Eagle Feather""]"	Clyde Robert Bulla [<EMPTY>]	old_1122	1933	1953.0	20.0	TEMPORALLY_PLAUSIBLE_UNRESOLVED
/works/OL15381081W	This One Night	/authors/OL232498A	1940s;contemporary;english;fiction;fiction_romance_general;romance	1942	0	Robins, Denise	in_scope	NO_AUTHOR_SUPPORT	1	BOOK_FULL							1	This One Night	Robins, Denise	1942	6466478	BOOK_FULL	This One Night (Mills & Boon romance)	1987	"[""This One Night""]"	Yvonne Whittal [<EMPTY>]	old_1122	1942	1987.0	45.0	TEMPORALLY_PLAUSIBLE_UNRESOLVED
/works/OL20542159W	Rogue's March	/authors/OL2172573A	fiction;king_s_mountain_battle_of_s_c_1780;king_s_mountain_battle_of_south_carolina_1780_fast_ocolc_fst01404568	1949	0	Maristan Chapman	in_scope	NO_AUTHOR_SUPPORT	1	BOOK_FULL							1	Rogue's March	Maristan Chapman	1949	914108	BOOK_FULL	The Rogue's March: John Riley and the St. Patrick's Battalion, 1846-48 (The Warriors)	1999	"[""Rogue's March""]"	Peter F. Stevens [<EMPTY>]	old_1122	1949	1999.0	50.0	TEMPORALLY_PLAUSIBLE_UNRESOLVED
/works/OL33121077W	A moment of time	/authors/OL957796A	english_fiction;welsh_authors	1926	0	Richard Hughes	in_scope	NO_AUTHOR_SUPPORT	1	BOOK_FULL							1	A moment of time	Richard Hughes	1926	40993756	BOOK_FULL			"[""A Moment of Time""]"	Jilaine Tarisa [<EMPTY>]	old_1122	1926			YEAR_MISSING
/works/OL44408764W	The green light	/authors/OL2319624A;/authors/OL2724653A;/authors/OL9394036A	fiction;investigation;murder	1931	0	Louise Landon	in_scope	NO_AUTHOR_SUPPORT	1	WORK_FULL							1	The green light	Louise Landon	1931	24894674	WORK_FULL	The Green Light	1963	"[""The Green Light""]"	Bess Norton [<EMPTY>]	old_1122	1931	1963.0	32.0	TEMPORALLY_PLAUSIBLE_UNRESOLVED
/works/OL7707448W	We three	/authors/OL2384492A	fiction;plant_roots_poisoning	1910	0	Howard Preble Cotton	in_scope	NO_AUTHOR_SUPPORT	1	BOOK_FULL							1	We three	Howard Preble Cotton	1910	586078	BOOK_FULL	Nous trois	1992	"[""We Three""]"	Jean Echenoz [<EMPTY>] | Jesse Anderson [Translation]	old_1122	1910	1992.0	82.0	TEMPORAL_CONFLICT_GR_MUCH_NEWER
/works/OL15415838W	Looking beyond	/authors/OL2009888A	fiction;socialism;utopias	1891	0	Ludwig A. Geissler	in_scope	NO_AUTHOR_SUPPORT	1	WORK_FULL							1	Looking beyond	Ludwig A. Geissler	1891	567561	WORK_FULL	Looking Beyond	2003	"[""Looking Beyond: A Teen's Guide to the Spiritual World""]"	James Van Praagh [<EMPTY>]	old_1122	1891	2003.0	112.0	TEMPORAL_CONFLICT_GR_MUCH_NEWER
/works/OL232591W	The buccaneers	/authors/OL2508365A	buccaneers;fiction	1904	0	Henry M. Hyde	in_scope	NO_AUTHOR_SUPPORT	1	WORK_FULL							1	The buccaneers	Henry M. Hyde	1904	1483593	WORK_FULL	The Buccaneers	1938	"[""The Buccaneers""]"	Angela Mackworth-Young [<EMPTY>] | Edith Wharton [<EMPTY>] | Flo Gibson [Narrator] | Marion Mainwaring [<EMPTY>]	old_1122	1904	1938.0	34.0	TEMPORALLY_PLAUSIBLE_UNRESOLVED
