ol_work_key	ol_title	ol_author_name	ol_first_publish_year	canonical	goodreads_work_id	gr_original_title	gr_original_publication_year	title_match_type	title_match_types	matched_book_ids	matched_book_titles	ratings_count	text_reviews_count	match_status	author_match_quality	matched_goodreads_author	goodreads_cluster_size	conceptual_cluster_candidate
/works/OL100196W	"The ""genius"""	Theodore Dreiser	1915	1	2301487		1915	BOOK_FULL	BOOK_FULL|BOOK_BASE	"[""2295176""]"	"[""The Genius""]"	809	39	AUTO_MATCH_HIGH	EXACT_NAME	Theodore Dreiser	1	0
/works/OL100203W	Sister Carrie	Theodore Dreiser	1900	1	2437051	Sister Carrie	1900	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""126609"", ""200834"", ""576801"", ""636883"", ""644146"", ""727523"", ""770359"", ""1323880"", ""1327742"", ""1375491"", ""1658413"", ""1687240"", ""1688631"", ""1778407"", ""1810164"", ""1976219"", ""2229516"", ""2268995"", ""2269002"", ""2346880"", ""3383931"", ""5941289"", ""6106505"", ""6563665"", ""6998366"", ""7417778"", ""8017633"", ""8171491"", ""10146586"", ""11328751"", ""16170545"", ""19076256"", ""19368068""]"	"[""Sister Carrie"", ""Sister Carrie: New York Public Library Collector's Edition"", ""Sister Carrie: The Unexpurgated Edition""]"	31105	1195	AUTO_MATCH_HIGH	EXACT_NAME	Theodore Dreiser	1	0
/works/OL100230W	The stoic	Theodore Dreiser	1947	0	1394987	The Stoic	1947	WORK_FULL	WORK_FULL|WORK_BASE	[]	[]	1369	31	AUTO_MATCH_HIGH	EXACT_NAME	Theodore Dreiser	1	0
/works/OL100236W	Jennie Gerhardt	Theodore Dreiser	1911	0	298755	Jennie Gerhardt	1911	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""307794"", ""1278557"", ""1278561"", ""1278562"", ""2394817""]"	"[""JENNIE GERHARDT"", ""Jennie Gerhardt""]"	2011	107	AUTO_MATCH_HIGH	EXACT_NAME	Theodore Dreiser	1	0
/works/OL100237W	The Financier	Theodore Dreiser	1912	1	151348	The Financier	1911	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""562510"", ""5742754""]"	"[""The Financier""]"	3486	134	AUTO_MATCH_HIGH	EXACT_NAME	Theodore Dreiser	1	0
/works/OL100238W	The Titan	Theodore Dreiser	1914	0	1756723	The Titan	1914	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""1747568"", ""1758819"", ""28512936""]"	"[""The Titan""]"	1741	50	AUTO_MATCH_HIGH	EXACT_NAME	Theodore Dreiser	1	0
/works/OL1003017W	Memórias póstumas de Brás Cubas	Machado de Assis	1881	0	605176	Memorias Postumas de Bras Cubas	1880	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""87264"", ""618787"", ""7384467"", ""11855298"", ""13496639"", ""19093158"", ""23248344"", ""25205827"", ""26093069"", ""28238051"", ""28626581"", ""32058899""]"	"[""Memórias Póstumas De Brás Cubas"", ""Memórias Póstumas de Brás Cubas""]"	10928	421	AUTO_MATCH_HIGH	EXACT_NAME	Machado de Assis	1	0
/works/OL1003040W	Dom Casmurro	Machado de Assis	1900	0	1889484	Dom Casmurro	1899	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""82888"", ""909745"", ""1770416"", ""1853207"", ""3435122"", ""6163781"", ""7506571"", ""9524663"", ""13151031"", ""15846111"", ""16095950"", ""18042196"", ""18669585"", ""19734196"", ""22389673"", ""24793146"", ""26135127"", ""30757402"", ""33311549""]"	"[""Dom Casmurro""]"	12596	381	AUTO_MATCH_HIGH	EXACT_NAME	Machado de Assis	1	0
/works/OL1003044W	Esau e Jacó	Machado de Assis	1899	0	1535215	Esau e Jaco	1904	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""1436918"", ""7648016"", ""11857437"", ""18625003""]"	"[""Esau e Jacó"", ""Esaú e Jacó""]"	892	29	AUTO_MATCH_HIGH	EXACT_NAME	Machado de Assis	1	0
/works/OL1003079W	Quincas Borba	Machado de Assis	1899	0	84232	Quincas Borba	1891	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""87265"", ""354331"", ""11470317"", ""22384515"", ""22454911"", ""29996766""]"	"[""Quincas Borba""]"	2417	62	AUTO_MATCH_HIGH	EXACT_NAME	Machado de Assis	1	0
/works/OL100361W	One, None and a Hundred-Thousand	Pirandello, Luigi	1933	0	1041217	Uno, nessuno e centomila	1925	BOOK_FULL	BOOK_FULL|BOOK_BASE	"[""540734""]"	"[""One, None and a Hundred Thousand""]"	5660	238	AUTO_MATCH_HIGH	EXACT_NAME	Luigi Pirandello	1	0
/works/OL1004273W	Macunaíma, o, herói sem nenhum caráter	Mário de Andrade	1928	0	2737025	Macunaima	1928	BOOK_FULL	BOOK_FULL	"[""7696988""]"	"[""Macunaíma: O Herói Sem Nenhum Caráter""]"	1986	53	AUTO_MATCH_HIGH	EXACT_NAME	Mario de Andrade	1	0
/works/OL100431W	Quaderni di Serafino Gubbio operatore	Pirandello, Luigi	1916	0	44607844	Quaderni di Serafino Gubbio	1925	BOOK_FULL	BOOK_FULL|BOOK_BASE	"[""15730877"", ""34039053""]"	"[""Quaderni di Serafino Gubbio operatore""]"	334	13	AUTO_MATCH_HIGH	EXACT_NAME	Luigi Pirandello	1	0
