work_key	title	first_publish_year	author_keys	author_names	subject_keys	edition_count	source
/works/OL2231725W	The Slim Princess		/authors/OL287895A	George Ade	Fiction, humorous, general	0	phd_corpus_supplement
/works/OL31261510W	Trelawney		/authors/OL2981862A	Margaret Armstrong		0	phd_corpus_supplement
/works/OL1797214W	A question of time		/authors/OL2688089A	Gertrude Atherton		0	phd_corpus_supplement
/works/OL13144755W	The Homeward Trail		/authors/OL6041457A	Waldron Baily	Lumbee Indians|Fiction	0	phd_corpus_supplement
/works/OL1798545W	Jan Vedder's wife		/authors/OL215897A	Amelia Barr		0	phd_corpus_supplement
/works/OL1798555W	The Maid of Maiden Lane		/authors/OL215897A	Amelia Barr	Fiction, historical, general|Fiction, romance, historical, general	0	phd_corpus_supplement
/works/OL8523948W	The Golden Calf		/authors/OL2657571A	Mary Braddon		0	phd_corpus_supplement
/works/OL1487721W	Alas!		/authors/OL158919A	Rhoda Broughton	Interpersonal relations|Fiction|Seduction	0	phd_corpus_supplement
/works/OL5113179W	The outlaw years		/authors/OL1126672A	Robert M Coates	Brigands and robbers|Crime and criminals|Frontier and pioneer life|History|Outlaws|Natchez trace|Pirates|Indians of north america, southern states|Crime|Criminals	0	phd_corpus_supplement
/works/OL7282228W	The indigo necklace		/authors/OL2132331A	Frances Crane		0	phd_corpus_supplement
/works/OL20844W	The Red Badge of Courage		/authors/OL24527A	Stephen Crane	1783-1865|American Manuscripts|Cartoons and comics|Chancellorsville, Battle of, Chancellorsville, Va., 1863|Civil War, 1861-1865|Civil war|Classic Literature|Coming of age|Criticism and interpretation|Facsimiles|Fiction|Histoire|History|Juvenile fiction|Literature and the war|Manuscripts|Psychological aspects|Readers|Roman|Soldiers	0	phd_corpus_supplement
/works/OL2339028W	The lady of the hundred dresses		/authors/OL5580111A	Samuel Crockett		0	phd_corpus_supplement
/works/OL2339087W	The Red Axe		/authors/OL5580111A	S R Crockett	Fiction, men's adventure|Fiction, historical, general|Fiction, general	0	phd_corpus_supplement
/works/OL24797604W	The Heart of Unaga		/authors/OL5826563A	Ridgwell Cullum		0	phd_corpus_supplement
/works/OL24661382W	The Simian World		/authors/OL4360794A	Clarence Day		0	phd_corpus_supplement
/works/OL262578W	The Doings of Raffles Haw		/authors/OL161167A	Arthur Conan Doyle	English Fantasy fiction|England, fiction|Holmes, sherlock (fictitious character), fiction|British and irish fiction (fictional works by one author)|Fiction, mystery & detective, traditional|Fiction, short stories (single author)|Private investigators, fiction	0	phd_corpus_supplement
/works/OL27646510W	Odd Women Illustrated		/authors/OL57263A	George Gissing		0	phd_corpus_supplement
/works/OL17467W	Jess, a novel		/authors/OL23326A	Haggard Rider	South africa, fiction|Fiction, action & adventure|Fiction, romance, fantasy|Sisters, fiction	0	phd_corpus_supplement
/works/OL4451245W	A strong-minded woman, or, Two years after		/authors/OL2946122A	William Hammond	Zoology|Zoologie	0	phd_corpus_supplement
/works/OL44927W	Tess of the d'Urbervilles		/authors/OL18277A	Thomas Hardy	"Fiction|Man-woman relationships, fiction|Poor families, fiction|Women murderers, fiction|Children of the rich|fiction""|Triangles (Interpersonal relations), fiction|Children of clergy, fiction|Women domestics, fiction|Women household employees, fiction|England, fiction|Social life and customs, fiction|Young women, fiction|Social classes, fiction|Facsimiles|English Manuscripts|Manuscripts|Criticism and interpretation|Classic Literature|Literature"	0	phd_corpus_supplement
/works/OL1489101W	Ships that pass in the night		/authors/OL159072A	Beatrice Harraden		0	phd_corpus_supplement
/works/OL7675136W	Anthony Fairfax		/authors/OL2365378A	Margery Hollis		0	phd_corpus_supplement
/works/OL245401W	The Prisoner of Zenda		/authors/OL27107A|/authors/OL577481A|/authors/OL2662747A|/authors/OL578236A|/authors/OL7995575A|/authors/OL9303114A|/authors/OL9788479A|/authors/OL10079370A|/authors/OL9615191A|/authors/OL6020283A|/authors/OL11106329A|/authors/OL11106330A|/authors/OL2956052A|/authors/OL7307550A|/authors/OL9109391A|/authors/OL674610A	Anthony Hope	Fiction|Adventure|Fiction, action & adventure|Ruritania (imaginary place), fiction|British and irish fiction (fictional works by one author)|Children's fiction|Adventure and adventurers, fiction|British|Impostors and imposture|English Adventure stories|Classic Literature|Foreign countries|Thriller|Literature|Upper class|Attempted murder|Treason|Travel|Adventure stories|Great britain, fiction	0	phd_corpus_supplement
/works/OL35819656W	A Confession of St. Augustine		/authors/OL23681A	William Dean Howells		0	phd_corpus_supplement
/works/OL879241W	A crystal age		/authors/OL77089A	W H Hudson	Utopias|English Fantasy fiction	0	phd_corpus_supplement
/works/OL86343W	A Portrait of the Artist as a Young Man		/authors/OL31827A|/authors/OL11598064A|/authors/OL12387151A|/authors/OL11529163A	James Joyce	Fiction|Artists|Young men|Facsimiles|Manuscripts|English Manuscripts|Autobiographical fiction|Literature|Classic Literature|Coming of age|Psychological fiction|Stephen Dedalus|Stephen Dedalus (Fictitious character)|Authors|open_syllabus_project|Portrait of the artist as a young man (Joyce, James)|Portrait of the artist as a young man|Stephen Dedalus (Fictional character)|Bildungsromans|British and irish fiction (fictional works by one author)	0	phd_corpus_supplement
/works/OL244582W	The road to Damascus		/authors/OL2552335A	Hersilia Keays		0	phd_corpus_supplement
/works/OL4971729W	Megda		/authors/OL1073593A	Emma Kelley	African American women|African American women authors|Fiction|American Women authors|Fiction, general|African americans, fiction|African Americans|Young women	0	phd_corpus_supplement
/works/OL3121021W	The New Dawn		/authors/OL492102A	Agnes Laut	Roman canadien-anglais, ICMH|Canadian fiction (English), CIHM	0	phd_corpus_supplement
/works/OL51128W	The innocents		/authors/OL19493A	Sinclair Lewis		0	phd_corpus_supplement
/works/OL7055428W	We Two		/authors/OL1980913A	Edna Lyall		0	phd_corpus_supplement
/works/OL788147W	The aloe		/authors/OL65682A	Katherine Mansfield	Aloe|Therapeutic use	0	phd_corpus_supplement
/works/OL18110400W	The comedy of sentiment		/authors/OL160641A	Max Nordau		0	phd_corpus_supplement
/works/OL20255882W	Stepsons of Light		/authors/OL4833954A	Eugene Manlove Rhodes		0	phd_corpus_supplement
/works/OL8442754W	Hearts Courageous		/authors/OL2814681A	Hallie Rives	Virginia, fiction|Fiction, historical, general	0	phd_corpus_supplement
/works/OL1491830W	He fell in love with his wife		/authors/OL159292A	Edward Roe	Fiction, romance, general|Fiction, family life, general|Man-woman relationships, fiction	0	phd_corpus_supplement
/works/OL4103590W	"""Drag"" Harlan"		/authors/OL769176A	Charles Seltzer		0	phd_corpus_supplement
/works/OL114967W	The Jungle		/authors/OL19024A	Upton Sinclair	Slaughtering and slaughter-houses|Sociology|Lithuanian Americans|Fiction|Historical Fiction|Emigration and immigration|Packing-houses|Stockyards|Meat industry and trade|Corrupt practices|Open Library Staff Picks|Classic Literature|Working class|Political corruption|Beef industry|Immigrants|Meat industry|Capitalism|Trade unions|Lithuanians in the United States	0	phd_corpus_supplement
/works/OL24156W	The Strange Case of Dr. Jekyll and Mr. Hyde		/authors/OL25963A	Robert Louis Stevenson	Fiction|Physicians|Physicians in fiction|Multiple personality in fiction|Multiple personality|Self-experimentation in medicine in fiction|Self-experimentation in medicine|Ficción|Médicos|Novela de terror|Personalidad múltiple|Supernatural in fiction|Supernatural|Horror stories|Horror fiction|Conduct of life|London (England)|Science Fiction & Fantasy|England in fiction|Scottish Horror tales	0	phd_corpus_supplement
/works/OL85892W	Dracula		/authors/OL31727A	Bram Stoker	English literature|Fiction|Horror|Horror stories|Horror tales|Monsters|Thriller|Vampires|Vampires in literature|Horror fiction|Irish authors|Epistolary novels|Romanians|British|Psychological fiction|Textbooks for foreign speakers|Readers for new literates|Romania, fiction|England, fiction|Vampires, fiction	0	phd_corpus_supplement
/works/OL4975431W	Red sand		/authors/OL1074728A	T S Stribling		0	phd_corpus_supplement
/works/OL29190177W	That Unfortunate Marriage		/authors/OL2555720A	Frances Eleanor Trollope		0	phd_corpus_supplement
/works/OL37513138W	The Adventures of Huckleberry Finn		/authors/OL18319A	Mark Twain		0	phd_corpus_supplement
/works/OL413308W	Huck Finn & Tom Sawyer collaboration		/authors/OL18319A|/authors/OL459755A	Mark Twain	Fiction|Huckleberry Finn (Fictitious character)|Tom Sawyer (Fictitious character)|Sawyer, tom (fictitious character), fiction|Finn, huckleberry (fictitious character), fiction|Fiction, humorous, general	0	phd_corpus_supplement
/works/OL1617862W	Rifle, rod, and gun in California		/authors/OL177348A	Theodore Van Dyke	Hunting|History|Publication and distribution|Bible|British and Foreign Bible Society	0	phd_corpus_supplement
/works/OL107897W	Robert Elsmere		/authors/OL2657563A	Mrs. Humphry Ward		0	phd_corpus_supplement
/works/OL3496345W	Gone to Earth (Charwood Classics)		/authors/OL584056A|/authors/OL4352611A|/authors/OL4352615A|/authors/OL10117214A	Mary Webb	Fiction, general	0	phd_corpus_supplement
/works/OL32747456W	Renunciations		/authors/OL18126A	Frederick Wedmore		0	phd_corpus_supplement
