OL161167A	Arthur Conan Doyle
OL27349A	F. Scott Fitzgerald
OL161167A	Arthur Conan Doyle
OL4327652A	Sylvia Plath
OL24461A	Rudyard Kipling
OL161167A	Arthur Conan Doyle
OL35183A	Kate Chopin
OL31574A	C. S. Lewis
OL153463A	Spyri, Johanna
OL5816217A	Eleanor Hodgman Porter
OL5816217A	Porter
OL5816217A	Neil Reed
OL5816217A	Lee Giles
OL2649309A	Eleanor Hodgman Porter
OL2649309A	Porter
OL2649309A	Neil Reed
OL2649309A	Lee Giles
OL2658623A	Eleanor Hodgman Porter
OL2658623A	Porter
OL2658623A	Neil Reed
OL2658623A	Lee Giles
OL8402543A	Eleanor Hodgman Porter
OL8402543A	Porter
OL8402543A	Neil Reed
OL8402543A	Lee Giles
OL22122A	Margaret Wise Brown
OL13066A	H. G. Wells
OL68455A	Margery Williams Bianco
OL20646A	Oscar Wilde
OL19441A	Joseph Conrad
OL31827A	James Joyce
OL161167A	Arthur Conan Doyle
OL32541A	Beatrix Potter
OL32541A	Blackwell North America.
OL32541A	Jean Little
OL32541A	David Hately
OL32541A	J. K. Jomkhwan
OL32541A	Lisa McCue
OL2007361A	Beatrix Potter
OL2007361A	Blackwell North America.
OL2007361A	Jean Little
OL2007361A	David Hately
OL2007361A	J. K. Jomkhwan
OL2007361A	Lisa McCue
OL27452A	Beatrix Potter
OL27452A	Blackwell North America.
OL27452A	Jean Little
OL27452A	David Hately
OL27452A	J. K. Jomkhwan
OL27452A	Lisa McCue
OL2796155A	Beatrix Potter
OL2796155A	Blackwell North America.
OL2796155A	Jean Little
OL2796155A	David Hately
OL2796155A	J. K. Jomkhwan
OL2796155A	Lisa McCue
OL9650732A	Beatrix Potter
OL9650732A	Blackwell North America.
OL9650732A	Jean Little
OL9650732A	David Hately
OL9650732A	J. K. Jomkhwan
OL9650732A	Lisa McCue
OL25630A	Beatrix Potter
OL25630A	Blackwell North America.
OL25630A	Jean Little
OL25630A	David Hately
OL25630A	J. K. Jomkhwan
OL25630A	Lisa McCue
OL44633A	Jack London
OL161167A	Arthur Conan Doyle
OL24461A	Rudyard Kipling
OL161167A	Arthur Conan Doyle
OL34221A	Isaac Asimov
OL2689875A	James George Frazer
OL2689875A	Theodor Herzl Gaster
OL2689875A	George W. Stocking
OL137095A	James George Frazer
OL137095A	Theodor Herzl Gaster
OL137095A	George W. Stocking
OL657901A	James George Frazer
OL657901A	Theodor Herzl Gaster
OL657901A	George W. Stocking
OL31727A	Bram Stoker
OL13640A	Ernest Hemingway
OL18319A	Mark Twain
OL161167A	Arthur Conan Doyle
OL31727A	Bram Stoker
OL19493A	Sinclair Lewis
OL161167A	Arthur Conan Doyle
OL888706A	Felix Salten
OL27695A	Agatha Christie
OL39485A	Lucy Maud Montgomery
OL25918A	Erskine Childers
OL27349A	F. Scott Fitzgerald
OL178062A	José Rizal
OL27695A	Agatha Christie
OL13066A	H. G. Wells
OL13066A	Ellen Marriage
OL3309163A	H. G. Wells
OL3309163A	Ellen Marriage
OL21001A	Henry James
OL27695A	Agatha Christie
OL33146A	Franz Kafka
OL13640A	Ernest Hemingway
OL39485A	Lucy Maud Montgomery
OL30241A	Евгений Иванович Замятин
OL27695A	Agatha Christie
OL27695A	Agatha Christie
OL27349A	F. Scott Fitzgerald
OL24137A	Ray Bradbury
OL25788A	John Steinbeck
OL34047A	Daphne du Maurier
OL13066A	H. G. Wells
OL554155A	Arthur Machen
OL18053A	Edith Nesbit
OL19450A	Virginia Woolf
OL13640A	Ernest Hemingway
OL22242A	Фёдор Михайлович Достоевский
OL197515A	Dorothy L. Sayers
OL18524A	Gilbert Keith Chesterton
OL126562A	Baroness Emmuska Orczy
OL26680A	Louisa May Alcott
OL26680A	Success Oceo
OL7933943A	Louisa May Alcott
OL7933943A	Success Oceo
OL300813A	Sax Rohmer
OL19512A	Emily Dickinson
OL44633A	Jack London
OL2748652A	Ernesto Sabato
OL197120A	Laura Ingalls Wilder
OL20188A	Edith Wharton
OL197120A	Laura Ingalls Wilder
OL408063A	Charlotte Perkins Gilman
OL31827A	James Joyce
OL20157A	Friedrich Nietzsche
OL27695A	Agatha Christie
OL28127A	Edgar Allan Poe
OL118077A	George Orwell
OL18319A	Mark Twain
OL13066A	H. G. Wells
OL13066A	H. G. Wells
OL151749A	Margaret Mitchell
OL23767A	Frances Hodgson Burnett
OL26439A	Stefan Zweig
OL1770A	Rabindranath Tagore
OL1770A	Marie Luise Gothein
OL1770A	William Butler Yeats
OL4324199A	Rabindranath Tagore
OL4324199A	Marie Luise Gothein
OL4324199A	William Butler Yeats
OL21207A	Rabindranath Tagore
OL21207A	Marie Luise Gothein
OL21207A	William Butler Yeats
OL19493A	Sinclair Lewis
OL18053A	Edith Nesbit
OL13066A	H. G. Wells
OL23431A	L. Frank Baum
OL25788A	John Steinbeck
OL23431A	L. Frank Baum
OL23431A	L. Frank Baum
OL26680A	Louisa May Alcott
OL18053A	Edith Nesbit
OL27695A	Agatha Christie
OL27695A	Agatha Christie
OL20188A	Edith Wharton
OL18524A	Gilbert Keith Chesterton
OL39485A	Lucy Maud Montgomery
OL18524A	Gilbert Keith Chesterton
OL25788A	John Steinbeck
OL23431A	L. Frank Baum
OL152307A	Hugh Lofting
OL23431A	L. Frank Baum
OL130236A	Israel Zangwill
OL117166A	James Stephens
OL22583A	Willa Cather
OL122269A	Mariano Azuela
OL1926970A	Hope Mirrlees
OL340903A	James Hilton
OL1706751A	Earl Derr Biggers
OL28409A	William Morris
OL19964A	D. H. Lawrence
OL2688998A	夏目漱石
OL2688998A	J. Cohn
OL2688998A	J. Cohn
OL2688998A	Dennis Washburn
OL2688998A	Umeji Sasaki
OL2688998A	Yasotaro Morri
OL2688998A	Kaori Okura
OL9428816A	夏目漱石
OL9428816A	J. Cohn
OL9428816A	J. Cohn
OL9428816A	Dennis Washburn
OL9428816A	Umeji Sasaki
OL9428816A	Yasotaro Morri
OL9428816A	Kaori Okura
OL9428817A	夏目漱石
OL9428817A	J. Cohn
OL9428817A	J. Cohn
OL9428817A	Dennis Washburn
OL9428817A	Umeji Sasaki
OL9428817A	Yasotaro Morri
OL9428817A	Kaori Okura
OL3298601A	夏目漱石
OL3298601A	J. Cohn
OL3298601A	J. Cohn
OL3298601A	Dennis Washburn
OL3298601A	Umeji Sasaki
OL3298601A	Yasotaro Morri
